date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,cases,deaths
05-06-2020,-0.23107142857142857,-0.02732142857142857,0.29874999999999996,-0.2942857142857142,-0.38785714285714296,0.14660714285714285,-0.11051445578231288,-0.2939408263305322,-0.09537557107568502,24485.0,2708.0
05-07-2020,-0.23410714285714285,-0.013571428571428578,0.40196428571428583,-0.29732142857142846,-0.38696428571428576,0.14714285714285716,-0.09518359616573904,-0.29195346320346316,-0.0700110969248797,28473.0,1958.0
05-08-2020,-0.26517857142857143,-0.02267857142857143,0.2062499999999999,-0.3076785714285714,-0.37696428571428564,0.15625,-0.04780341682127397,-0.2927980965113319,0.004898956161824027,27643.0,1575.0
05-09-2020,-0.2614285714285714,0.07339285714285713,0.2730357142857144,-0.26339285714285704,-0.23339285714285715,0.07892857142857142,-0.049583333333333326,-0.2990068754774637,-0.01996129330142593,24869.0,1454.0
05-10-2020,-0.21964285714285717,0.045892857142857145,0.3698214285714286,-0.29053571428571434,-0.23499999999999996,0.05196428571428569,-0.21238288497217064,-0.33556611280875986,-0.19974882743432604,20317.0,931.0
05-11-2020,-0.24142857142857155,-0.07553571428571429,0.16071428571428575,-0.3083928571428572,-0.3639285714285713,0.13678571428571432,0.0,0.0,0.0,17618.0,982.0
05-12-2020,-0.2207142857142857,-0.03160714285714287,0.32482142857142854,-0.2805357142857144,-0.3692857142857142,0.1398214285714285,0.0,0.0,0.0,22299.0,1653.0
05-13-2020,-0.20339285714285713,-0.02125,0.3762499999999999,-0.2703571428571428,-0.36767857142857147,0.13785714285714284,-0.034118351886209035,-0.28939362108479755,-0.02991627267960126,21141.0,1768.0
05-14-2020,-0.21910714285714292,-0.02964285714285716,0.44178571428571417,-0.28357142857142864,-0.37160714285714275,0.13857142857142857,-0.0045817872603586855,-0.28499236058059585,-0.0015792238601898087,26961.0,1738.0
05-15-2020,-0.2319642857142857,-0.0375,0.5091071428571426,-0.2791071428571429,-0.3614285714285714,0.1392857142857143,0.10367772108843536,-0.2677516233766234,0.11101068814231103,26223.0,1593.0
05-16-2020,-0.2489285714285714,-0.015178571428571425,0.6676785714285713,-0.23339285714285715,-0.2080357142857143,0.06767857142857142,0.07778447742733456,-0.2714188629997454,0.0644612642144116,23659.0,1225.0
05-17-2020,-0.2196428571428572,-0.039642857142857126,0.5416071428571428,-0.27875,-0.21535714285714294,0.05839285714285713,-0.08863365800865798,-0.31241501145912914,-0.10268319629448307,19014.0,844.0
05-18-2020,-0.17785714285714285,-0.04232142857142857,0.31285714285714283,-0.2875000000000001,-0.34267857142857144,0.1242857142857143,-0.0034083178726035807,-0.2706062197606315,0.0023313147251990143,21820.0,846.0
05-19-2020,-0.16696428571428568,-0.010892857142857149,0.4430357142857143,-0.26267857142857143,-0.3508928571428571,0.12785714285714284,0.043352659245516394,-0.26776578813343516,0.039988527191846625,20968.0,1520.0
